achievement,List all of your previous achievements on your resume.,ความสำเร็จ
alternative,Carob is sometimes used in sweet foods as a healthier alternative to chocolate.,"ทางเลือก, ตัวเลือก"
applicable,The new qualifications are applicable to all European countries.,"ใช้ได้, เหมาะสม"
applicant,All applicants are required to submit their resumes.,ผู้สมัคร
apprehensive,Many people feel apprehensive before an important job interview.,"ประหม่า,กังวล"
approximate,The price quoted by the movers is only an approximate cost and is subject to change.,"ราวๆ, ประมาณ"
associate,Two of the applicants were associated with a competitor.,"มีความสัมพันธ์, เกี่ยวข้องกัน"
beneficial,The organization’s work is beneficial to the community.,"เป็นประโยชน์, เป็นผลดี"
career,Jacobson started his banking career in 1990.,อาชีพ
collaborate,Two writers collaborated on the script for the film.,"ร่วมมือ, ทำร่วมกัน"
complimentary,There was a complimentary bottle of champagne in the hotel room,ที่ให้ฟรี
comply,The inspector will ensure that all newly constructed buildings comply with applicable codes and regulations.,"เชื่อฟัง, ยอมทำตาม"
comprehensible,The procedure must be clear and comprehensible to all staff.,เข้าใจได้ง่าย
comprehensive,We offer our customers a comprehensive range of financial products.,ครอบคลุม
concerned,Theatre companies are very concerned about cuts in government grants to the arts.,กังวล
conduct,We are conducting a survey to find out what our customers think of their local bus service.,"จัดการ, ควบคุม"
confidential,The company will treat all candidates’ information as confidential.,เป็นความลับ
consecutive,The Harley Company achieved high sales growth for the third consecutive year.,ต่อเนื่องตามลำดับ
consequence,Profits grew as a consequence of increased business.,ผลที่ตามมา
considerably,A market analysis shows that sales of sports utility vehicles have decreased considerably over the past twelve months.,อย่างมาก
consultant,Rosalind is currently working as a financial consultant in New York.,ที่ปรึกษา
convince,Agricultural companies have failed to convince consumers that GM foods are safe.,"โน้มน้าว, ชักจูง"
correspondence,Records of all correspondence between the landlord and the tenants should be kept on record.,"จดหมาย, หนังสือข่าว"
criteria,Does your experience meet the criteria for the job?,"เกณฑ์, เงื่อนไข"
crucial,Her work has been crucial to the project’s success.,"สำคัญ, จำเป็น"
demonstrate,Sales figures demonstrate that the advertising campaign was successful.,"อธิบาย, แสดงให้เห็น"
